sql,random_id,type,instance_id
SELECT * FROM df,WHFT5YB3CV,feature_importance,EYALGZMIYT
sql,random_id,type,instance_id
SELECT * FROM df,AR2CQFSFVS,feature_impact,EYALGZMIYT
SELECT * FROM df,MG25DEH2LT,pdp,EYALGZMIYT
SELECT * FROM df,N4G21SV77I,summary_plot,EYALGZMIYT
SELECT * FROM df,WX25UJOYTZ,filtered_df,EYALGZMIYT
SELECT * FROM df,DCDTLFHKOE,filtered_df,EYALGZMIYT
