VariableName,Impact_Value
RM,-0.19817222873477833
AGE,-0.021130998883711123
CRIM,-0.012783335264139025
ZN,-0.001057598339512221
CHAS,0.0
B,0.0007520979995058901
RAD,0.0007638220749832248
PTRATIO,0.0033326528373651995
INDUS,0.008650017172473634
TAX,0.018206236549764006
NOX,0.04023109101497093
LSTAT,0.07664332778023725
DIS,0.08456488096260138
