iter	Passed	Remaining
228	424	1430
229	425	1426
230	426	1421
231	428	1417
232	429	1412
233	430	1407
234	431	1403
235	432	1399
236	433	1395
237	434	1391
238	436	1389
239	437	1385
240	438	1381
241	440	1379
242	441	1375
243	442	1370
244	443	1366
245	444	1362
246	445	1358
247	446	1354
248	447	1350
249	448	1346
250	449	1342
251	451	1338
252	452	1335
253	453	1331
254	454	1327
255	455	1323
256	456	1319
257	457	1315
258	458	1312
259	459	1308
260	460	1304
261	462	1301
262	463	1298
263	464	1294
264	465	1290
265	466	1286
266	467	1283
267	468	1279
268	469	1276
269	470	1273
270	472	1269
271	473	1266
272	474	1262
273	475	1258
274	476	1255
275	477	1252
276	478	1248
277	479	1245
278	480	1241
279	481	1238
280	482	1235
281	483	1231
282	484	1228
283	486	1225
284	487	1222
285	488	1218
286	489	1215
287	490	1211
288	491	1208
289	492	1205
290	493	1202
291	494	1199
292	495	1196
293	496	1193
294	498	1190
295	499	1187
296	500	1184
297	501	1181
298	502	1177
299	503	1174
300	504	1171
301	505	1168
302	506	1165
303	507	1162
304	508	1159
305	509	1156
306	510	1153
307	511	1150
308	513	1147
309	514	1144
310	515	1141
311	516	1138
312	517	1136
313	518	1133
314	519	1130
315	520	1127
316	521	1124
317	523	1122
318	524	1119
319	525	1116
320	526	1113
321	527	1110
322	528	1107
323	529	1105
324	530	1102
325	531	1099
326	532	1096
327	534	1094
328	535	1091
329	536	1088
330	536	1085
331	538	1082
332	539	1080
333	540	1077
334	541	1074
335	542	1072
336	543	1069
337	544	1066
338	545	1064
339	546	1061
340	548	1059
341	549	1056
342	550	1053
343	551	1051
344	552	1048
345	553	1045
346	554	1043
347	555	1040
348	556	1038
349	557	1035
350	558	1033
351	559	1030
352	560	1027
353	561	1025
354	562	1022
355	563	1019
356	564	1017
357	565	1014
358	566	1012
359	568	1009
360	569	1007
361	570	1004
362	571	1002
363	572	999
364	573	997
365	574	994
366	575	992
367	576	990
368	577	988
369	578	985
370	579	983
371	580	980
372	581	978
373	583	976
374	584	973
375	585	971
376	586	968
377	587	966
378	588	964
379	589	961
380	590	959
381	591	956
382	592	955
383	594	953
384	595	951
385	596	949
386	597	947
387	599	945
388	600	942
389	601	941
390	602	938
391	603	936
392	605	934
393	606	932
394	607	930
395	608	928
396	609	925
397	610	923
398	611	921
399	612	919
400	613	916
401	614	914
402	615	912
403	616	910
404	618	907
405	619	905
406	620	903
407	621	901
408	622	899
409	623	897
410	624	895
411	626	893
412	627	891
413	628	889
414	629	887
415	630	885
416	631	883
417	632	880
418	633	878
419	634	876
420	635	874
421	636	872
422	638	870
423	639	868
424	640	866
425	641	864
426	642	862
427	643	860
428	644	858
429	645	855
430	646	853
431	647	851
432	648	849
433	649	847
434	650	845
435	652	843
436	653	841
437	654	839
438	655	837
439	656	835
440	657	833
441	658	831
442	659	829
443	660	827
444	661	825
445	662	823
446	663	821
447	664	819
448	665	817
449	666	815
450	668	813
451	669	811
452	670	809
453	671	807
454	672	805
455	673	803
456	674	801
457	675	799
458	676	797
459	677	795
460	678	793
461	679	791
462	680	789
463	682	787
464	683	786
465	684	784
466	685	782
467	686	780
468	687	778
469	688	776
470	690	775
471	691	773
472	693	772
473	694	770
474	695	768
475	696	766
476	697	764
477	698	762
478	699	760
479	700	758
480	701	757
481	702	755
482	703	753
483	704	751
484	706	749
485	707	748
486	708	746
487	709	744
488	710	742
489	711	740
490	712	738
491	713	737
492	714	735
493	715	733
494	717	731
495	718	729
496	719	727
497	720	726
498	721	724
499	722	722
500	723	720
501	724	718
502	725	716
503	726	714
504	727	713
505	728	711
506	729	709
507	730	707
508	732	706
509	733	704
510	734	702
511	735	701
512	736	699
513	737	697
514	738	695
515	739	693
516	740	691
517	741	690
518	742	688
519	744	687
520	746	685
521	747	684
522	748	682
523	749	681
524	751	679
525	753	678
526	754	677
527	755	675
528	757	674
529	758	672
530	760	671
531	761	669
532	762	667
533	763	666
534	764	664
535	765	662
536	767	661
537	768	659
538	769	658
539	770	656
540	771	654
541	772	652
542	773	651
543	774	649
544	775	647
545	776	645
546	777	644
547	778	642
548	779	640
549	781	639
550	782	637
551	783	635
552	784	633
553	785	632
554	786	630
555	787	628
556	788	627
557	790	626
558	791	624
559	792	622
560	793	621
561	794	619
562	795	617
563	796	615
564	797	614
565	798	612
566	799	610
567	800	609
568	801	607
569	803	605
570	804	604
571	805	602
572	806	600
573	807	599
574	808	597
575	809	595
576	810	594
577	811	592
578	812	590
579	813	589
580	814	587
581	815	585
582	816	584
583	817	582
584	818	580
585	819	579
586	821	577
587	822	575
588	823	574
589	824	572
590	825	571
591	826	569
592	827	567
593	828	566
594	829	564
595	830	562
596	831	561
597	832	559
598	833	558
599	835	556
600	836	555
601	837	553
602	838	551
603	839	550
604	840	548
605	841	547
606	842	545
607	843	543
608	844	542
609	845	540
610	846	539
611	847	537
612	848	535
613	849	534
614	851	532
615	852	531
616	853	529
617	854	528
618	855	526
619	856	524
620	857	523
621	858	521
622	859	520
623	860	518
624	861	516
625	862	515
626	863	513
627	865	512
628	866	510
629	867	509
630	868	507
631	869	506
632	870	504
633	871	503
634	872	501
635	873	500
636	875	498
637	876	497
638	878	496
639	879	494
640	880	493
641	882	491
642	883	490
643	885	489
644	886	488
645	891	488
646	893	487
647	895	486
648	896	484
649	897	483
650	898	481
651	900	480
652	902	479
653	903	477
654	904	476
655	906	475
656	907	473
657	908	472
658	909	470
659	911	469
660	912	468
661	913	466
662	914	465
663	916	463
664	917	462
665	918	460
666	919	459
667	921	457
668	922	456
669	923	455
670	925	453
671	926	452
672	927	450
673	929	449
674	930	447
675	931	446
676	933	445
677	935	444
678	936	442
679	938	441
680	939	440
681	941	438
682	942	437
683	944	436
684	945	434
685	947	433
686	948	432
687	950	430
688	952	429
689	953	428
690	955	427
691	957	426
692	958	424
693	960	423
694	961	421
695	963	420
696	964	419
697	965	417
698	966	416
699	967	414
700	969	413
701	970	411
702	971	410
703	973	409
704	974	407
705	975	406
706	977	405
707	978	403
708	979	402
709	980	400
710	981	399
711	982	397
712	983	396
713	985	394
714	986	393
715	987	391
716	988	390
717	989	388
718	990	387
719	991	385
720	992	384
721	993	382
722	994	381
723	995	379
724	996	378
725	998	376
726	999	375
727	1000	373
728	1001	372
729	1002	370
730	1003	369
731	1004	367
732	1005	366
733	1008	365
734	1009	364
735	1010	362
736	1011	361
737	1012	359
738	1013	358
739	1015	356
740	1016	355
741	1017	353
742	1018	352
743	1019	350
744	1020	349
745	1021	347
746	1023	346
747	1024	345
748	1025	343
749	1026	342
750	1027	340
751	1028	339
752	1029	337
753	1030	336
754	1031	334
755	1032	333
756	1033	331
757	1035	330
758	1036	329
759	1037	327
760	1038	326
761	1039	324
762	1040	323
763	1041	321
764	1042	320
765	1043	318
766	1044	317
767	1045	315
768	1046	314
769	1048	313
770	1049	311
771	1050	310
772	1051	308
773	1052	307
774	1053	305
775	1054	304
776	1055	302
777	1056	301
778	1057	299
779	1058	298
780	1059	297
781	1060	295
782	1061	294
783	1062	292
784	1063	291
785	1064	289
786	1065	288
787	1066	287
788	1068	285
789	1069	284
790	1070	282
791	1071	281
792	1072	279
793	1073	278
794	1074	277
795	1075	275
796	1076	274
797	1077	272
798	1078	271
799	1080	270
800	1081	268
801	1082	267
802	1083	265
803	1084	264
804	1085	262
805	1086	261
806	1087	260
807	1088	258
808	1089	257
809	1090	255
810	1091	254
811	1092	253
812	1093	251
813	1095	250
814	1096	248
815	1097	247
816	1098	246
817	1099	244
818	1100	243
819	1101	241
820	1102	240
821	1103	239
822	1105	237
823	1106	236
824	1107	234
825	1108	233
826	1109	232
827	1110	230
828	1111	229
829	1112	227
830	1114	226
831	1116	225
832	1117	224
833	1120	223
834	1122	221
835	1124	220
836	1126	219
837	1128	218
838	1130	216
839	1132	215
840	1133	214
841	1134	212
842	1135	211
843	1136	210
844	1138	208
845	1139	207
846	1141	206
847	1142	204
848	1143	203
849	1145	202
850	1146	200
851	1147	199
852	1148	197
853	1149	196
854	1150	195
855	1151	193
856	1152	192
857	1153	190
858	1155	189
859	1156	188
860	1157	186
861	1158	185
862	1159	184
863	1160	182
864	1161	181
865	1162	179
866	1163	178
867	1165	177
868	1166	175
869	1167	174
870	1168	173
871	1169	171
872	1171	170
873	1172	168
874	1173	167
875	1174	166
876	1175	164
877	1176	163
878	1177	162
879	1178	160
880	1179	159
881	1180	157
882	1181	156
883	1183	155
884	1184	153
885	1185	152
886	1186	151
887	1187	149
888	1189	148
889	1190	147
890	1191	145
891	1192	144
892	1194	143
893	1195	141
894	1196	140
895	1197	138
896	1198	137
897	1199	136
898	1200	134
899	1201	133
900	1202	132
901	1203	130
902	1204	129
903	1205	128
904	1206	126
905	1207	125
906	1208	123
907	1209	122
908	1211	121
909	1212	119
910	1213	118
911	1214	117
912	1215	115
913	1216	114
914	1218	113
915	1219	111
916	1220	110
917	1222	109
918	1223	107
919	1224	106
920	1225	105
921	1226	103
922	1227	102
923	1228	101
924	1229	99
925	1230	98
926	1231	97
927	1233	95
928	1234	94
929	1235	92
930	1236	91
931	1237	90
932	1238	88
933	1239	87
934	1240	86
935	1241	84
936	1242	83
937	1244	82
938	1245	80
939	1246	79
940	1247	78
941	1248	76
942	1249	75
943	1250	74
944	1251	72
945	1252	71
946	1253	70
947	1255	68
948	1256	67
949	1257	66
950	1258	64
951	1259	63
952	1260	62
953	1261	60
954	1263	59
955	1264	58
956	1265	56
957	1266	55
958	1268	54
959	1269	52
960	1270	51
961	1271	50
962	1272	48
963	1273	47
964	1274	46
965	1275	44
966	1277	43
967	1278	42
968	1279	40
969	1280	39
970	1281	38
971	1282	36
972	1283	35
973	1284	34
974	1285	32
975	1286	31
976	1287	30
977	1289	29
978	1290	27
979	1291	26
980	1293	25
981	1294	23
982	1295	22
983	1296	21
984	1298	19
985	1299	18
986	1300	17
987	1301	15
988	1302	14
989	1305	13
990	1307	11
991	1309	10
992	1310	9
993	1312	7
994	1313	6
995	1315	5
996	1316	3
997	1317	2
998	1319	1
999	1320	0
