iter	Logloss
0	0.6865820857
1	0.679956897
2	0.674550222
3	0.6692548646
4	0.6640652165
5	0.6588864601
6	0.6529501373
7	0.6478348455
8	0.6430892929
9	0.6388119781
10	0.6333922989
11	0.6278321684
12	0.6231347754
13	0.6176381582
14	0.6133878193
15	0.6091205774
16	0.6038169081
17	0.5997518022
18	0.5950906096
19	0.5907255401
20	0.5868266074
21	0.5820550726
22	0.5789614732
23	0.574863499
24	0.5710287005
25	0.5682739504
26	0.564538527
27	0.56019343
28	0.55704518
29	0.553855155
30	0.5502503451
31	0.5471408895
32	0.5437698216
33	0.5406650868
34	0.5375559115
35	0.534257259
36	0.53107814
37	0.5282659734
38	0.5252551024
39	0.523254689
40	0.5200114248
41	0.5181190279
42	0.5149995864
43	0.5123579767
44	0.5100568166
45	0.5071241732
46	0.5043015122
47	0.5023031529
48	0.4995082659
49	0.4972708688
50	0.4943612363
51	0.4922199075
52	0.4893047084
53	0.4871393675
54	0.485041203
55	0.4826639539
56	0.4806679893
57	0.4786981058
58	0.4769013192
59	0.4748169763
60	0.4728607523
61	0.4709079248
62	0.4686280229
63	0.4668480187
64	0.4650915237
65	0.4631243268
66	0.4617979765
67	0.4596064424
68	0.4582464235
69	0.4565430214
70	0.4550490865
71	0.4531861024
72	0.451417868
73	0.4496709067
74	0.4481181631
75	0.4469325485
76	0.4455136429
77	0.4441696988
78	0.4424070273
79	0.4413348637
80	0.4399868061
81	0.438465076
82	0.4369161369
83	0.4355791195
84	0.4343335326
85	0.4332365321
86	0.4317976883
87	0.4303995944
88	0.4292640568
89	0.4279044112
90	0.4268067797
91	0.4255627613
92	0.4247620229
93	0.423460187
94	0.4225912299
95	0.4213370813
96	0.4199717902
97	0.4185961635
98	0.417643771
99	0.4168570252
100	0.4158254311
101	0.4146956613
102	0.4135433983
103	0.4126614208
104	0.4115671667
105	0.4106954509
106	0.4096156041
107	0.4085382206
108	0.4073439995
109	0.4063605464
110	0.4052388247
111	0.404168701
112	0.4030934234
113	0.4024676832
114	0.4017179125
115	0.4008823307
116	0.400025043
117	0.399233182
118	0.3983746888
119	0.3974740011
120	0.3967728018
121	0.3959166382
122	0.3952531096
123	0.3945793509
124	0.3937034217
125	0.393235223
126	0.3928424722
127	0.3917388262
128	0.3910123161
129	0.3905114827
130	0.3896191333
131	0.388649623
132	0.3879309887
133	0.3871818663
134	0.386435923
135	0.3857939494
136	0.3850802764
137	0.3843362835
138	0.3836327595
139	0.3828089865
140	0.3822090865
141	0.3813905565
142	0.3808371305
143	0.3801696093
144	0.3794297834
145	0.3791488251
146	0.3785766452
147	0.3776819909
148	0.3771503815
149	0.3764528563
150	0.3760185925
151	0.3754574372
152	0.374761304
153	0.3741691313
154	0.3734985953
155	0.3727065034
156	0.372096453
157	0.3715492358
158	0.3709347151
159	0.3702724733
160	0.3698347688
161	0.3691831092
162	0.3687262185
163	0.3684882046
164	0.3679173765
165	0.3676478142
166	0.3669754507
167	0.3666218382
168	0.3659487591
169	0.3654039283
170	0.3647950425
171	0.3644068138
172	0.363928066
173	0.3634408258
174	0.3629490683
175	0.3623893587
176	0.3620132438
177	0.3616198043
178	0.3613448995
179	0.3608591665
180	0.3606034261
